Index,solar_needed,solar_availability,wind_needed,wind_availability,coal_needed,coal_availability,gas_needed,gas_availability,sortfall,BMS_status,BMS_action,total_cost,frequency_mean,frequency_std_dev,frequency_max_deviation,frequency_min_deviation,within_0_01,within_0_02,within_0_05
0,0.0,0.0,2116.18,2008.06,11700.0,11500.0,9500.0,9500.0,308.12,0.85,discharging,2245725.24,49.981,0.0055,0.0357,0.006,6.0,58.0,100.0
1,0.0,0.0,830.62,2022.9,11700.0,11500.0,9500.0,9500.0,-992.28,0.89,charging,2139755.8,49.9595,0.0052,0.0565,0.0281,0.0,0.0,96.0
2,0.0,0.0,1350.56,2047.06,11700.0,11500.0,9500.0,9500.0,-496.5,0.93,charging,2186550.4,49.9687,0.0052,0.0471,0.0188,0.0,1.0,100.0
3,0.0,0.0,916.21,2048.68,11700.0,11500.0,9500.0,9500.0,-932.47,0.97,charging,2147458.9,49.961,0.0052,0.0547,0.0267,0.0,0.0,98.0
4,0.0,0.0,2208.2,2077.19,11700.0,11500.0,610.5,9500.0,-8558.49,1.0,charging,2251947.38,49.9825,0.0052,0.0333,0.0051,6.0,70.0,100.0
5,0.0,0.0,2114.5,2086.33,11700.0,11500.0,9500.0,9500.0,228.17,0.95,discharging,2252769.47,49.9826,0.0054,0.0336,0.0046,7.0,72.0,100.0
6,0.0,0.0,1251.62,2100.56,11689.52,11500.0,9500.0,9500.0,-659.42,1.0,charging,2177645.8,49.967,0.005,0.0482,0.021,0.0,0.0,100.0
7,0.0,0.0,2135.63,2122.13,11700.0,11500.0,9500.0,9500.0,213.5,0.96,discharging,2255992.08,49.9834,0.0052,0.0322,0.0043,7.0,78.0,100.0
8,0.0,0.0,721.76,2143.69,11700.0,11500.0,9500.0,9500.0,-1221.93,1.0,charging,2129958.4,49.9578,0.0048,0.0568,0.0307,0.0,0.0,93.0
9,0.0,0.0,2132.17,2147.4,11700.0,11500.0,9500.0,9500.0,184.77,0.96,discharging,2256895.3,49.9835,0.0052,0.0322,0.004,12.0,79.0,100.0
10,0.0,0.0,988.13,2171.46,11696.02,11500.0,9500.0,9500.0,-987.31,1.0,charging,2153931.7,49.9624,0.0049,0.0523,0.0259,0.0,0.0,98.0
11,0.0,0.0,77.45,2184.64,11700.0,11500.0,9500.0,9500.0,-1907.19,1.0,idle,2071970.5,49.947,0.0047,0.0669,0.0418,0.0,0.0,26.0
12,0.0,0.0,2017.58,2202.87,11700.0,11500.0,9500.0,9500.0,14.71,1.0,discharging,2246582.2,49.9814,0.005,0.0338,0.0065,5.0,63.0,100.0
13,0.0,0.0,980.98,2222.51,6238.89,11500.0,9398.66,9500.0,-6603.98,1.0,charging,2153288.2,49.9623,0.0049,0.0525,0.0259,0.0,0.0,98.0
14,0.0,0.0,2145.7,2236.66,11700.0,11500.0,9500.0,9500.0,109.04,0.98,discharging,2258113.0,49.9839,0.005,0.0313,0.004,12.0,81.0,100.0
15,0.0,0.0,624.16,2252.15,11700.0,11500.0,9500.0,9500.0,-1427.99,1.0,charging,2121174.4,49.9562,0.0047,0.0579,0.0326,0.0,0.0,91.0
16,0.0,0.0,2152.9,2261.93,11700.0,11500.0,9500.0,9500.0,90.97,0.98,discharging,2258761.0,49.9841,0.005,0.0307,0.0039,12.0,81.0,100.0
17,0.0,0.0,191.59,2276.56,11700.0,11500.0,9500.0,9500.0,-1884.97,1.0,charging,2082243.1,49.949,0.0044,0.0642,0.0403,0.0,0.0,42.0
18,0.0,0.0,2165.02,2297.15,11700.0,11500.0,424.77,9500.0,-9007.36,1.0,idle,2259851.8,49.9844,0.0047,0.0297,0.0041,12.0,84.0,100.0
19,0.0,0.0,2151.83,2306.69,11700.0,11500.0,9500.0,9500.0,45.14,0.99,discharging,2258664.7,49.9841,0.0047,0.0299,0.0044,11.0,81.0,100.0
20,0.0,0.0,2069.23,2323.28,11700.0,11500.0,9500.0,9500.0,-54.05,1.0,charging,2251230.7,49.9825,0.0047,0.0312,0.0062,5.0,74.0,100.0
21,0.0,0.0,2160.04,2341.58,11700.0,11500.0,9500.0,9500.0,18.46,1.0,discharging,2259403.6,49.9843,0.0048,0.0301,0.004,12.0,81.0,100.0
22,0.0,0.0,508.57,2356.41,11700.0,11500.0,9500.0,9500.0,-1647.84,1.0,charging,2110771.3,49.9544,0.0044,0.0586,0.035,0.0,0.0,87.0
23,0.0,0.0,164.45,2369.57,11700.0,11500.0,2599.9,9500.0,-8905.22,1.0,idle,2079800.5,49.9487,0.0043,0.064,0.0409,0.0,0.0,39.0
24,0.0,0.0,1794.6,2385.58,11700.0,11500.0,9500.0,9500.0,-390.98,1.0,idle,2226514.0,49.9773,0.0046,0.0362,0.0116,0.0,26.0,100.0
25,0.0,0.0,1369.32,2399.76,11700.0,11500.0,9500.0,9500.0,-830.44,1.0,idle,2188238.8,49.9694,0.0046,0.0443,0.0194,0.0,1.0,100.0
26,0.0,0.0,767.02,2419.22,11700.0,11500.0,9500.0,9500.0,-1452.2,1.0,idle,2134031.8,49.9588,0.0044,0.0542,0.0306,0.0,0.0,96.0
27,0.0,0.0,876.25,2427.74,3359.81,11500.0,9500.0,9500.0,-9691.68,1.0,idle,2143862.5,49.9607,0.0043,0.0518,0.029,0.0,0.0,98.0
28,0.0,0.0,1456.56,2444.55,11700.0,11500.0,9500.0,9500.0,-787.99,1.0,idle,2196090.4,49.9711,0.0044,0.0418,0.0183,0.0,1.0,100.0
29,0.0,0.0,0.51,2465.51,11700.0,11500.0,6775.43,9500.0,-4989.57,1.0,idle,2065045.9,49.9461,0.0041,0.0658,0.044,0.0,0.0,16.0
30,0.0,0.0,913.39,2473.61,11700.0,11500.0,9500.0,9500.0,-1360.22,1.0,idle,2147205.1,49.9613,0.0042,0.0511,0.0284,0.0,0.0,98.0
31,0.0,0.0,507.66,2490.12,11700.0,11500.0,9500.0,9500.0,-1782.46,1.0,idle,2110689.4,49.9544,0.0041,0.0576,0.0357,0.0,0.0,89.0
32,0.0,0.0,1075.02,2503.43,11700.0,11500.0,9500.0,9500.0,-1228.41,1.0,idle,2161751.8,49.9642,0.0042,0.048,0.0257,0.0,0.0,100.0
33,0.0,0.0,2185.96,2518.32,11700.0,11500.0,9500.0,9500.0,-132.36,1.0,idle,2261736.4,49.9849,0.0044,0.028,0.0043,12.0,89.0,100.0
34,0.0,0.0,960.87,2530.38,11700.0,11500.0,9500.0,9500.0,-1369.51,1.0,idle,2151478.3,49.9622,0.0041,0.0498,0.0279,0.0,0.0,100.0
35,0.0,0.0,1713.96,2553.12,11700.0,11500.0,9500.0,9500.0,-639.16,1.0,idle,2219256.4,49.9759,0.0042,0.0364,0.014,0.0,15.0,100.0
36,0.0,0.0,1849.89,2565.16,12090.0,12000.0,9469.67,9500.0,-655.6,1.0,idle,2296490.1,49.9885,0.0043,0.024,0.0011,36.0,97.0,100.0
37,0.0,0.0,1828.85,2580.99,12090.0,12000.0,9500.0,9500.0,-662.14,1.0,idle,2294596.5,49.9881,0.0042,0.0241,0.0017,32.0,96.0,100.0
38,0.0,0.0,1835.37,2595.66,12090.0,12000.0,9500.0,9500.0,-670.29,1.0,idle,2295183.3,49.9882,0.0041,0.0238,0.0018,33.0,97.0,100.0
39,0.0,0.0,1340.98,2610.02,12090.0,12000.0,9500.0,9500.0,-1179.04,1.0,idle,2250688.2,49.9789,0.004,0.0327,0.0115,0.0,42.0,100.0
40,0.0,0.0,1856.9,2621.24,12090.0,12000.0,9497.66,9500.0,-676.68,1.0,idle,2297121.0,49.9887,0.0041,0.0232,0.0014,39.0,98.0,100.0
41,0.0,0.0,1845.86,2632.93,12090.0,12000.0,9500.0,9500.0,-697.07,1.0,idle,2296127.4,49.9885,0.004,0.0232,0.0018,36.0,97.0,100.0
42,0.0,0.0,853.1,2653.92,12090.0,12000.0,1226.22,9500.0,-9984.6,1.0,idle,2206779.0,49.9701,0.0038,0.0409,0.0208,0.0,0.0,100.0
43,0.0,0.0,1855.95,2663.48,12090.0,12000.0,9500.0,9500.0,-717.53,1.0,idle,2297035.5,49.9887,0.004,0.0231,0.0015,39.0,98.0,100.0
44,0.0,0.0,165.49,2683.52,12090.0,12000.0,9500.0,9500.0,-2428.03,1.0,idle,2144894.1,49.9583,0.0037,0.0525,0.0326,0.0,0.0,98.0
45,0.0,0.0,755.33,2693.37,3166.36,12000.0,9447.19,9500.0,-10824.49,1.0,idle,2197979.7,49.9684,0.0037,0.0424,0.0226,0.0,0.0,100.0
46,0.0,0.0,1861.46,2701.99,12090.0,12000.0,9500.0,9500.0,-750.53,1.0,idle,2297531.4,49.9889,0.004,0.0227,0.0015,40.0,98.0,100.0
47,0.0,0.0,1882.03,2723.11,12090.0,12000.0,9500.0,9500.0,-751.08,1.0,idle,2299382.7,49.9893,0.0038,0.0218,0.0016,42.0,98.0,100.0
48,0.0,0.0,74.23,2731.36,12090.0,12000.0,9500.0,9500.0,-2567.13,1.0,idle,2136680.7,49.9569,0.0035,0.0533,0.0348,0.0,0.0,97.0
49,0.0,0.0,834.15,2742.76,12090.0,12000.0,9500.0,9500.0,-1818.61,1.0,idle,2205073.5,49.9698,0.0036,0.0406,0.0216,0.0,0.0,100.0
50,0.0,0.0,2460.4,2759.48,12090.0,12000.0,7245.59,9500.0,-2463.49,1.0,idle,2351436.0,50.0007,0.0038,0.0104,0.0001,98.0,100.0,100.0
51,0.0,0.0,1886.94,2776.83,12090.0,12000.0,9500.0,9500.0,-799.89,1.0,idle,2299824.6,49.9894,0.0037,0.0215,0.0018,44.0,98.0,100.0
52,0.0,0.0,1907.76,2789.1,12090.0,12000.0,9500.0,9500.0,-791.34,1.0,idle,2301698.4,49.9898,0.0036,0.0208,0.0018,48.0,98.0,100.0
53,0.0,0.0,1881.83,2799.83,12090.0,12000.0,9500.0,9500.0,-828.0,1.0,idle,2299364.7,49.9893,0.0037,0.0215,0.0018,44.0,98.0,100.0
54,0.0,0.0,1891.06,2817.26,12090.0,12000.0,9500.0,9500.0,-836.2,1.0,idle,2300195.4,49.9895,0.0037,0.0213,0.0018,44.0,98.0,100.0
55,0.0,0.0,1909.43,2826.69,12071.92,12000.0,9500.0,9500.0,-845.34,1.0,idle,2301848.7,49.9898,0.0037,0.0209,0.0013,48.0,98.0,100.0
56,0.0,0.0,2436.1,2837.8,11882.29,12000.0,9178.66,9500.0,-840.75,1.0,idle,2349249.0,50.0003,0.0037,0.0104,0.0,98.0,100.0,100.0
57,0.0,0.0,39.5,2851.35,12090.0,12000.0,9500.0,9500.0,-2721.85,1.0,idle,2133555.0,49.9564,0.0033,0.0533,0.0357,0.0,0.0,97.0
58,0.0,0.0,1928.59,2866.38,12090.0,12000.0,9500.0,9500.0,-847.79,1.0,idle,2303573.1,49.9903,0.0035,0.02,0.0015,57.0,99.0,100.0
59,0.0,0.0,892.89,2872.49,12038.86,12000.0,9231.3,9500.0,-2209.44,1.0,idle,2210360.1,49.971,0.0034,0.039,0.0211,0.0,0.0,100.0
60,0.0,0.0,1401.09,2891.76,12090.0,12000.0,9500.0,9500.0,-1400.67,1.0,idle,2256098.1,49.9802,0.0034,0.0297,0.012,0.0,57.0,100.0
61,0.0,0.0,1150.1,2898.1,12090.0,12000.0,9500.0,9500.0,-1658.0,1.0,idle,2233509.0,49.9756,0.0034,0.0343,0.0165,0.0,9.0,100.0
62,0.0,0.0,2511.68,2908.37,12090.0,12000.0,8897.9,9500.0,-908.79,1.0,idle,2356051.2,50.002,0.0036,0.0105,0.0,99.0,100.0,100.0
63,0.0,0.0,1992.0,2921.47,12090.0,12000.0,9419.17,9500.0,-920.3,1.0,idle,2309280.0,49.9916,0.0035,0.0188,0.0002,68.0,100.0,100.0
64,0.0,0.0,1309.1,2931.46,12090.0,12000.0,9500.0,9500.0,-1532.36,1.0,idle,2247819.0,49.9786,0.0033,0.0312,0.0138,0.0,29.0,100.0
65,0.0,0.0,2553.41,2941.62,12090.0,12000.0,8953.49,9500.0,-844.72,1.0,idle,2359806.9,50.0028,0.0035,0.011,0.0001,98.0,100.0,100.0
66,0.0,0.0,2436.35,2963.96,12090.0,12000.0,9024.75,9500.0,-912.86,1.0,idle,2349271.5,50.0004,0.0034,0.0098,0.0,100.0,100.0,100.0
67,0.0,0.0,1658.75,2973.64,12090.0,12000.0,9500.0,9500.0,-1224.89,1.0,idle,2279287.5,49.9852,0.0032,0.0245,0.0075,8.0,94.0,100.0
68,0.0,0.0,1974.57,2976.5,12090.0,12000.0,9500.0,9500.0,-911.93,1.0,idle,2307711.3,49.9912,0.0032,0.0184,0.0016,68.0,100.0,100.0
69,0.0,0.0,1954.19,2990.72,12090.0,12000.0,9500.0,9500.0,-946.53,1.0,idle,2305877.1,49.9909,0.0033,0.0189,0.0017,63.0,100.0,100.0
70,0.0,0.0,1080.13,3005.64,12090.0,12000.0,9500.0,9500.0,-1835.51,1.0,idle,2227211.7,49.9744,0.0031,0.0348,0.0187,0.0,4.0,100.0
71,0.0,0.0,675.68,3016.31,12090.0,12000.0,9500.0,9500.0,-2250.63,1.0,idle,2190811.2,49.9673,0.0032,0.0421,0.0254,0.0,0.0,100.0
72,0.0,0.0,2163.68,3021.36,11950.03,12000.0,9456.03,9500.0,-951.62,1.0,idle,2324731.2,49.9951,0.0032,0.0145,0.0001,92.0,100.0,100.0
