Index,solar_needed,solar_availability,wind_needed,wind_availability,coal_needed,coal_availability,gas_needed,gas_availability,sortfall,BMS_status,BMS_action,total_cost,frequency_mean,frequency_std_dev,frequency_max_deviation,frequency_min_deviation,within_0_01,within_0_02,within_0_05
0,0.0,0.0,2046.72,2008.06,8991.0,11500.0,1898.72,9500.0,-10071.62,0.94,charging,2245725.24,49.981,0.0055,0.0357,0.006,6.0,58.0,100.0
1,0.0,0.0,802.21,2022.9,8904.46,11500.0,5661.99,9500.0,-7654.24,0.98,charging,2137198.9,49.959,0.0052,0.0569,0.0286,0.0,0.0,95.0
2,0.0,0.0,317.92,2047.06,11417.68,11500.0,9252.63,9500.0,-2058.83,1.0,charging,2093612.8,49.9509,0.005,0.0643,0.0372,0.0,0.0,57.0
3,0.0,0.0,832.19,2048.68,8872.84,11500.0,3582.03,9500.0,-9761.62,1.0,idle,2139897.1,49.9595,0.0051,0.0561,0.0282,0.0,0.0,96.0
4,0.0,0.0,1643.01,2077.19,11268.49,11500.0,8909.56,9500.0,-1256.13,1.0,idle,2212870.9,49.9742,0.0051,0.0413,0.0136,0.0,14.0,100.0
5,0.0,0.0,1917.71,2086.33,7937.74,11500.0,8698.24,9500.0,-4532.64,1.0,idle,2237593.9,49.9794,0.0053,0.0368,0.0079,2.0,46.0,100.0
6,0.0,0.0,677.86,2100.56,11655.89,11500.0,8196.2,9500.0,-2570.61,1.0,idle,2126007.4,49.9569,0.0049,0.0579,0.0313,0.0,0.0,92.0
7,0.0,0.0,1704.54,2122.13,10359.06,11500.0,6575.56,9500.0,-4482.97,1.0,idle,2218408.6,49.9754,0.0051,0.0399,0.0125,0.0,19.0,100.0
8,0.0,0.0,1169.43,2143.69,11304.23,11500.0,5873.57,9500.0,-4796.46,1.0,idle,2170248.7,49.9656,0.0049,0.0493,0.0226,0.0,0.0,100.0
9,0.0,0.0,2220.38,2147.4,10084.5,11500.0,8894.42,9500.0,-1948.1,1.0,idle,2258265.86,49.9838,0.0052,0.032,0.0037,13.0,81.0,100.0
10,0.0,0.0,1529.25,2171.46,7975.52,11500.0,9486.46,9500.0,-4180.23,1.0,idle,2202632.5,49.9722,0.005,0.0429,0.0158,0.0,6.0,100.0
11,0.0,0.0,1713.67,2184.64,11273.25,11500.0,7294.21,9500.0,-2903.51,1.0,idle,2219230.3,49.9755,0.005,0.0395,0.0125,0.0,19.0,100.0
12,0.0,0.0,1131.6,2202.87,9581.46,11500.0,8123.28,9500.0,-4366.53,1.0,idle,2166844.0,49.9649,0.0049,0.0497,0.0234,0.0,0.0,100.0
13,0.0,0.0,1130.52,2222.51,11452.02,11500.0,8283.01,9500.0,-2356.96,1.0,idle,2166746.8,49.965,0.0049,0.0499,0.0232,0.0,0.0,100.0
14,0.0,0.0,341.6,2236.66,9431.23,11500.0,6959.29,9500.0,-6504.54,1.0,idle,2095744.0,49.9514,0.0047,0.0626,0.0374,0.0,0.0,64.0
15,0.0,0.0,1340.01,2252.15,11308.73,11500.0,2921.9,9500.0,-7681.51,1.0,idle,2185600.9,49.9687,0.0048,0.0458,0.0196,0.0,1.0,100.0
16,0.0,0.0,1187.43,2261.93,11677.62,11500.0,8884.62,9500.0,-1512.26,1.0,idle,2171868.7,49.966,0.0048,0.0482,0.0225,0.0,0.0,100.0
17,0.0,0.0,18.63,2276.56,10259.27,11500.0,8931.09,9500.0,-4067.57,1.0,idle,2066676.7,49.9463,0.0044,0.0668,0.0431,0.0,0.0,20.0
18,0.0,0.0,383.7,2297.15,9008.63,11500.0,7056.17,9500.0,-6848.65,1.0,idle,2099533.0,49.9522,0.0044,0.0608,0.0372,0.0,0.0,72.0
19,0.0,0.0,225.52,2306.69,9416.47,11500.0,7930.38,9500.0,-5734.32,1.0,idle,2085296.8,49.9496,0.0043,0.0633,0.0399,0.0,0.0,47.0
20,0.0,0.0,2247.3,2323.28,10766.97,11500.0,9447.94,9500.0,-861.07,1.0,idle,2267257.0,49.986,0.0047,0.0279,0.0026,20.0,90.0,100.0
21,0.0,0.0,1130.7,2341.58,10090.65,11500.0,9280.7,9500.0,-2839.53,1.0,idle,2166763.0,49.9651,0.0046,0.0487,0.0237,0.0,0.0,100.0
22,0.0,0.0,220.66,2356.41,11554.62,11500.0,4291.08,9500.0,-7290.05,1.0,idle,2084859.4,49.9496,0.0043,0.0632,0.0399,0.0,0.0,47.0
23,0.0,0.0,1375.6,2369.57,11334.25,11500.0,7334.58,9500.0,-3325.14,1.0,idle,2188804.0,49.9695,0.0045,0.0438,0.0195,0.0,1.0,100.0
24,0.0,0.0,1163.41,2385.58,11559.47,11500.0,5373.21,9500.0,-5289.49,1.0,idle,2169706.9,49.9657,0.0045,0.0475,0.0235,0.0,0.0,100.0
25,0.0,0.0,165.22,2399.76,10959.76,11500.0,6831.09,9500.0,-5443.69,1.0,idle,2079869.8,49.9487,0.0044,0.0643,0.0407,0.0,0.0,39.0
26,0.0,0.0,2096.81,2419.22,10210.39,11500.0,8379.41,9500.0,-2732.61,1.0,idle,2253712.9,49.9831,0.0046,0.0306,0.0056,6.0,78.0,100.0
27,0.0,0.0,801.62,2427.74,8809.62,11500.0,5506.16,9500.0,-8310.34,1.0,idle,2137145.8,49.9594,0.0042,0.0531,0.0303,0.0,0.0,98.0
28,0.0,0.0,1768.23,2444.55,8642.64,11500.0,7730.26,9500.0,-5303.42,1.0,idle,2224140.7,49.9769,0.0044,0.0361,0.0123,0.0,22.0,100.0
29,0.0,0.0,564.24,2465.51,9588.99,11500.0,5424.55,9500.0,-7887.73,1.0,idle,2115781.6,49.9554,0.0042,0.0568,0.0345,0.0,0.0,90.0
30,0.0,0.0,469.35,2473.61,10568.66,11500.0,1828.46,9500.0,-10607.14,1.0,idle,2107241.5,49.9538,0.0042,0.0584,0.0361,0.0,0.0,84.0
31,0.0,0.0,161.79,2490.12,11516.68,11500.0,3760.31,9500.0,-8051.34,1.0,idle,2079561.1,49.9487,0.004,0.0631,0.0415,0.0,0.0,38.0
32,0.0,0.0,565.77,2503.43,9394.48,11500.0,3887.29,9500.0,-9655.89,1.0,idle,2115919.3,49.9554,0.0041,0.0565,0.0347,0.0,0.0,90.0
33,0.0,0.0,1153.27,2518.32,7434.89,11500.0,9412.29,9500.0,-5517.87,1.0,idle,2168794.3,49.9656,0.0042,0.0468,0.0241,0.0,0.0,100.0
34,0.0,0.0,1279.23,2530.38,10465.33,11500.0,8779.82,9500.0,-3006.0,1.0,idle,2180130.7,49.9679,0.0042,0.0443,0.0221,0.0,0.0,100.0
35,0.0,0.0,953.31,2553.12,11215.28,11500.0,9053.91,9500.0,-2330.62,1.0,idle,2150797.9,49.962,0.0041,0.0498,0.0281,0.0,0.0,100.0
36,0.0,0.0,991.29,2565.16,11704.75,12000.0,8460.77,9500.0,-2908.35,1.0,idle,2219216.1,49.9725,0.0041,0.0395,0.0175,0.0,5.0,100.0
37,0.0,0.0,706.76,2580.99,11326.62,12000.0,8302.47,9500.0,-3745.14,1.0,idle,2193608.4,49.9675,0.004,0.0442,0.0228,0.0,0.0,100.0
38,0.0,0.0,425.08,2595.66,11820.6,12000.0,7302.1,9500.0,-4547.88,1.0,idle,2168257.2,49.9626,0.0039,0.0487,0.028,0.0,0.0,100.0
39,0.0,0.0,2003.87,2610.02,11786.47,12000.0,7971.87,9500.0,-2347.81,1.0,idle,2310348.3,49.9915,0.0041,0.0204,0.0005,66.0,98.0,100.0
