Index,solar_needed,solar_availability,wind_needed,wind_availability,coal_needed,coal_availability,gas_needed,gas_availability,sortfall,BMS_status,BMS_action,total_cost,frequency_mean,frequency_std_dev,frequency_max_deviation,frequency_min_deviation,within_0_01,within_0_02,within_0_05
0,0.0,0.0,2273.46,2008.06,11700.0,11500.0,9500.0,9500.0,465.4,0.85,discharging,2245725.24,49.981,0.0055,0.0357,0.006,6.0,58.0,100.0
1,0.0,0.0,2070.82,2022.9,11700.0,11500.0,9500.0,9500.0,247.92,0.8,discharging,2247061.41,49.9813,0.0055,0.0355,0.0056,6.0,61.0,100.0
2,0.0,0.0,2387.79,2047.06,11700.0,11500.0,9500.0,9500.0,540.73,0.75,discharging,2249235.81,49.9818,0.0054,0.0345,0.0054,6.0,65.0,100.0
3,0.0,0.0,2308.59,2048.68,11700.0,11500.0,9500.0,9500.0,459.91,0.71,discharging,2249381.3,49.9819,0.0054,0.0346,0.0053,6.0,66.0,100.0
4,0.0,0.0,2098.18,2077.19,11700.0,11500.0,9500.0,9500.0,220.99,0.67,discharging,2251947.38,49.9825,0.0052,0.0333,0.0051,6.0,70.0,100.0
5,0.0,0.0,2083.57,2086.33,11700.0,11500.0,9500.0,9500.0,197.24,0.63,discharging,2252521.3,49.9826,0.0054,0.0337,0.0046,7.0,71.0,100.0
6,0.0,0.0,2010.44,2100.56,11700.0,11500.0,9500.0,9500.0,109.88,0.61,discharging,2245939.6,49.9812,0.0052,0.0346,0.0064,5.0,59.0,100.0
7,0.0,0.0,2105.63,2122.13,11700.0,11500.0,9500.0,9500.0,183.5,0.57,discharging,2254506.7,49.9831,0.0052,0.0325,0.0046,7.0,76.0,100.0
8,0.0,0.0,2054.31,2143.69,11700.0,11500.0,9500.0,9500.0,110.62,0.55,discharging,2249887.9,49.9821,0.0051,0.0334,0.0057,6.0,68.0,100.0
9,0.0,0.0,2233.13,2147.4,11700.0,11500.0,9500.0,9500.0,285.73,0.51,discharging,2258265.86,49.9838,0.0052,0.032,0.0037,13.0,81.0,100.0
10,0.0,0.0,2028.48,2171.46,11700.0,11500.0,9500.0,9500.0,57.02,0.49,discharging,2247563.2,49.9816,0.0051,0.0338,0.0061,6.0,65.0,100.0
11,0.0,0.0,2084.34,2184.64,11700.0,11500.0,9500.0,9500.0,99.7,0.47,discharging,2252590.6,49.9826,0.0051,0.0327,0.0052,6.0,72.0,100.0
12,0.0,0.0,2044.55,2202.87,11700.0,11500.0,9500.0,9500.0,41.68,0.47,discharging,2249009.5,49.9819,0.0051,0.0333,0.006,6.0,66.0,100.0
13,0.0,0.0,2142.42,2222.51,11700.0,11500.0,9500.0,9500.0,119.91,0.44,discharging,2257817.8,49.9839,0.0051,0.0317,0.0038,12.0,81.0,100.0
14,0.0,0.0,2123.06,2236.66,11700.0,11500.0,9500.0,9500.0,86.4,0.42,discharging,2256075.4,49.9834,0.005,0.0317,0.0045,7.0,79.0,100.0
15,0.0,0.0,2141.33,2252.15,11700.0,11500.0,9500.0,9500.0,89.18,0.41,discharging,2257719.7,49.9839,0.005,0.0312,0.0041,11.0,81.0,100.0
16,0.0,0.0,2349.0,2261.93,11700.0,11500.0,9500.0,9500.0,287.07,0.37,discharging,2268573.95,49.9863,0.005,0.0286,0.0017,22.0,90.0,100.0
17,0.0,0.0,2122.26,2276.56,11700.0,11500.0,9500.0,9500.0,45.7,0.36,discharging,2256003.4,49.9835,0.0048,0.0309,0.0048,7.0,80.0,100.0
18,0.0,0.0,2163.94,2297.15,11700.0,11500.0,9500.0,9500.0,66.79,0.35,discharging,2259754.6,49.9844,0.0047,0.0297,0.0042,12.0,84.0,100.0
19,0.0,0.0,2232.9,2306.69,11700.0,11500.0,9500.0,9500.0,126.21,0.33,discharging,2265961.0,49.9857,0.0047,0.0284,0.0028,19.0,90.0,100.0
20,0.0,0.0,2223.84,2323.28,11700.0,11500.0,9500.0,9500.0,100.56,0.31,discharging,2265145.6,49.9856,0.0047,0.0283,0.0031,16.0,90.0,100.0
21,0.0,0.0,2278.17,2341.58,11700.0,11500.0,9500.0,9500.0,136.59,0.28,discharging,2270035.3,49.9866,0.0049,0.0278,0.0016,22.0,91.0,100.0
22,0.0,0.0,2076.17,2356.41,11700.0,11500.0,9500.0,9500.0,-80.24,0.3,charging,2251855.3,49.9827,0.0047,0.0312,0.0059,6.0,74.0,100.0
23,0.0,0.0,2391.39,2369.57,11700.0,11500.0,9500.0,9500.0,221.82,0.27,discharging,2278261.53,49.9885,0.0047,0.0254,0.0001,37.0,96.0,100.0
24,0.0,0.0,2334.72,2385.58,11700.0,11500.0,9500.0,9500.0,149.14,0.24,discharging,2275124.8,49.9878,0.0047,0.0261,0.0008,31.0,95.0,100.0
25,0.0,0.0,2272.66,2399.76,11700.0,11500.0,9500.0,9500.0,72.9,0.23,discharging,2269539.4,49.9866,0.0048,0.0276,0.0018,22.0,92.0,100.0
26,0.0,0.0,2331.68,2419.22,11700.0,11500.0,9500.0,9500.0,112.46,0.21,discharging,2274851.2,49.9878,0.0047,0.0261,0.0008,31.0,95.0,100.0
27,0.0,0.0,2046.6,2427.74,11700.0,11500.0,9500.0,9500.0,-181.14,0.24,charging,2249194.0,49.9822,0.0045,0.0309,0.0069,5.0,71.0,100.0
28,0.0,0.0,2274.04,2444.55,11700.0,11500.0,9500.0,9500.0,29.49,0.23,discharging,2269663.6,49.9867,0.0045,0.0266,0.0023,21.0,92.0,100.0
29,0.0,0.0,2332.24,2465.51,11700.0,11500.0,9500.0,9500.0,66.73,0.22,discharging,2274901.6,49.9878,0.0045,0.0253,0.0013,32.0,96.0,100.0
30,0.0,0.0,2392.63,2473.61,11700.0,11500.0,9500.0,9500.0,119.02,0.2,discharging,2280336.7,49.989,0.0045,0.0242,0.0,42.0,96.0,100.0
31,0.0,0.0,2041.51,2490.12,11700.0,11500.0,9500.0,9500.0,-248.61,0.24,charging,2248735.9,49.9821,0.0044,0.0307,0.0073,5.0,72.0,100.0
32,0.0,0.0,2136.83,2503.43,11700.0,11500.0,9500.0,9500.0,-166.6,0.27,charging,2257314.7,49.984,0.0044,0.0288,0.0055,7.0,85.0,100.0
33,0.0,0.0,2052.44,2518.32,11700.0,11500.0,9500.0,9500.0,-265.88,0.31,charging,2249719.6,49.9823,0.0044,0.0305,0.007,5.0,74.0,100.0
34,0.0,0.0,2356.14,2530.38,11700.0,11500.0,9500.0,9500.0,25.76,0.3,discharging,2277052.6,49.9883,0.0043,0.0244,0.0012,34.0,96.0,100.0
35,0.0,0.0,2347.29,2553.12,11700.0,11500.0,9500.0,9500.0,-5.83,0.31,charging,2276256.1,49.9881,0.0043,0.0245,0.0014,33.0,96.0,100.0
36,0.0,0.0,2254.08,2565.16,12090.0,12000.0,9500.0,9500.0,-221.08,0.35,charging,2332867.2,49.9965,0.0043,0.0162,0.0001,92.0,100.0,100.0
37,0.0,0.0,2254.37,2580.99,12090.0,12000.0,9500.0,9500.0,-236.62,0.39,charging,2332893.3,49.9965,0.0043,0.016,0.0,92.0,100.0,100.0
38,0.0,0.0,2260.5,2595.66,12090.0,12000.0,9500.0,9500.0,-245.16,0.43,charging,2333445.0,49.9966,0.0042,0.0156,0.0001,92.0,100.0,100.0
39,0.0,0.0,2255.67,2610.02,12090.0,12000.0,9500.0,9500.0,-264.35,0.47,charging,2333010.3,49.9965,0.0041,0.0155,0.0001,92.0,100.0,100.0
40,0.0,0.0,2255.51,2621.24,12090.0,12000.0,9500.0,9500.0,-275.73,0.51,charging,2332995.9,49.9965,0.0042,0.0155,0.0001,92.0,100.0,100.0
41,0.0,0.0,2254.95,2632.93,12090.0,12000.0,9500.0,9500.0,-287.98,0.55,charging,2332945.5,49.9965,0.0041,0.0154,0.0001,93.0,100.0,100.0
42,0.0,0.0,2256.43,2653.92,12090.0,12000.0,9500.0,9500.0,-307.49,0.59,charging,2333078.7,49.9966,0.004,0.0151,0.0,94.0,100.0,100.0
43,0.0,0.0,2253.04,2663.48,12090.0,12000.0,9500.0,9500.0,-320.44,0.63,charging,2332773.6,49.9965,0.0041,0.0154,0.0001,92.0,100.0,100.0
44,0.0,0.0,2253.47,2683.52,12090.0,12000.0,9500.0,9500.0,-340.05,0.67,charging,2332812.3,49.9965,0.0041,0.0153,0.0001,93.0,100.0,100.0
45,0.0,0.0,2245.85,2693.37,12090.0,12000.0,9500.0,9500.0,-357.52,0.71,charging,2332126.5,49.9964,0.004,0.0151,0.0001,93.0,100.0,100.0
46,0.0,0.0,2279.42,2701.99,12090.0,12000.0,9472.46,9500.0,-360.11,0.75,charging,2335147.8,49.9971,0.0041,0.0147,0.0001,96.0,100.0,100.0
47,0.0,0.0,2254.41,2723.11,12090.0,12000.0,9500.0,9500.0,-378.7,0.79,charging,2332896.9,49.9966,0.0039,0.0146,0.0001,95.0,100.0,100.0
48,0.0,0.0,2119.95,2731.36,12090.0,12000.0,9500.0,9500.0,-521.41,0.83,charging,2320795.5,49.9939,0.0038,0.0172,0.0,87.0,100.0,100.0
49,0.0,0.0,2477.14,2742.76,11866.6,12000.0,9500.0,9500.0,-399.02,0.87,charging,2352942.6,50.0011,0.0038,0.0103,0.0,98.0,100.0,100.0
50,0.0,0.0,2581.45,2759.48,11764.82,12000.0,9500.0,9500.0,-413.21,0.91,charging,2362330.5,50.0032,0.0038,0.0124,0.0,95.0,100.0,100.0
51,0.0,0.0,2254.53,2776.83,12090.0,12000.0,9500.0,9500.0,-432.3,0.95,charging,2332907.7,49.9966,0.0038,0.0144,0.0001,96.0,100.0,100.0
52,0.0,0.0,2257.53,2789.1,12090.0,12000.0,9500.0,9500.0,-441.57,0.99,charging,2333177.7,49.9967,0.0037,0.0141,0.0,96.0,100.0,100.0
53,0.0,0.0,2330.65,2799.83,12090.0,12000.0,9500.0,9500.0,-379.18,1.0,charging,2339758.5,49.9982,0.0038,0.0129,0.0,98.0,100.0,100.0
54,0.0,0.0,2443.04,2817.26,12090.0,12000.0,9310.51,9500.0,-473.71,1.0,idle,2349873.6,50.0005,0.0038,0.0105,0.0,98.0,100.0,100.0
55,0.0,0.0,2253.0,2826.69,12090.0,12000.0,9500.0,9500.0,-483.69,1.0,idle,2332770.0,49.9966,0.0038,0.0143,0.0001,96.0,100.0,100.0
56,0.0,0.0,2255.76,2837.8,12090.0,12000.0,9498.25,9500.0,-493.79,1.0,idle,2333018.4,49.9967,0.0036,0.014,0.0,97.0,100.0,100.0
57,0.0,0.0,2252.21,2851.35,12090.0,12000.0,9500.0,9500.0,-509.14,1.0,idle,2332698.9,49.9967,0.0036,0.014,0.0,97.0,100.0,100.0
58,0.0,0.0,2254.54,2866.38,12090.0,12000.0,9500.0,9500.0,-521.84,1.0,idle,2332908.6,49.9967,0.0035,0.0137,0.0,97.0,100.0,100.0
59,0.0,0.0,2523.61,2872.49,12090.0,12000.0,9231.94,9500.0,-526.94,1.0,idle,2357124.9,50.0021,0.0036,0.0107,0.0,99.0,100.0,100.0
60,0.0,0.0,2259.29,2891.76,12090.0,12000.0,9500.0,9500.0,-542.47,1.0,idle,2333336.1,49.9968,0.0035,0.0135,0.0,97.0,100.0,100.0
61,0.0,0.0,2576.76,2898.1,12090.0,12000.0,9179.75,9500.0,-551.59,1.0,idle,2361908.4,50.0033,0.0036,0.0116,0.0,98.0,100.0,100.0
62,0.0,0.0,2264.72,2908.37,12090.0,12000.0,9486.4,9500.0,-567.25,1.0,idle,2333824.8,49.997,0.0036,0.0135,0.0,97.0,100.0,100.0
63,0.0,0.0,2253.23,2921.47,12090.0,12000.0,9500.0,9500.0,-578.24,1.0,idle,2332790.7,49.9967,0.0036,0.0137,0.0,97.0,100.0,100.0
64,0.0,0.0,2256.94,2931.46,12090.0,12000.0,9500.0,9500.0,-584.52,1.0,idle,2333124.6,49.9968,0.0034,0.0134,0.0001,97.0,100.0,100.0
65,0.0,0.0,2256.89,2941.62,12090.0,12000.0,9500.0,9500.0,-594.73,1.0,idle,2333120.1,49.9968,0.0035,0.0134,0.0,97.0,100.0,100.0
66,0.0,0.0,2258.96,2963.96,12090.0,12000.0,9500.0,9500.0,-615.0,1.0,idle,2333306.4,49.9968,0.0034,0.0133,0.0,97.0,100.0,100.0
67,0.0,0.0,2262.33,2973.64,12090.0,12000.0,9500.0,9500.0,-621.31,1.0,idle,2333609.7,49.9969,0.0033,0.013,0.0,97.0,100.0,100.0
68,0.0,0.0,2383.7,2976.5,11902.47,12000.0,9500.0,9500.0,-690.33,1.0,idle,2344533.0,49.9993,0.0032,0.0104,0.0,99.0,100.0,100.0
69,0.0,0.0,2260.51,2990.72,12090.0,12000.0,9500.0,9500.0,-640.21,1.0,idle,2333445.9,49.9969,0.0033,0.0129,0.0001,97.0,100.0,100.0
70,0.0,0.0,2267.68,3005.64,12090.0,12000.0,9500.0,9500.0,-647.96,1.0,idle,2334091.2,49.9971,0.0032,0.0126,0.0,98.0,100.0,100.0
71,0.0,0.0,2156.22,3016.31,12090.0,12000.0,9500.0,9500.0,-770.09,1.0,idle,2324059.8,49.9949,0.0034,0.0151,0.0001,91.0,100.0,100.0
72,0.0,0.0,2295.25,3021.36,12090.0,12000.0,9467.64,9500.0,-668.47,1.0,idle,2336572.5,49.9977,0.0032,0.0119,0.0001,98.0,100.0,100.0
73,0.0,0.0,2267.14,3035.29,12090.0,12000.0,9500.0,9500.0,-678.15,1.0,idle,2334042.6,49.9971,0.0032,0.0124,0.0001,98.0,100.0,100.0
74,0.0,0.0,3337.08,3050.66,12090.0,12000.0,8427.95,9500.0,-695.63,1.0,idle,2404558.98,50.0134,0.0032,0.0206,0.0037,13.0,98.0,100.0
75,0.0,0.0,3215.66,3057.42,12090.0,12000.0,8550.61,9500.0,-701.15,1.0,idle,2405167.99,50.0135,0.0033,0.0208,0.0037,13.0,98.0,100.0
76,0.0,0.0,2271.19,3064.16,12090.0,12000.0,9500.0,9500.0,-702.97,1.0,idle,2334407.1,49.9973,0.003,0.012,0.0001,98.0,100.0,100.0
77,0.0,0.0,2271.47,3078.02,12090.0,12000.0,9500.0,9500.0,-716.55,1.0,idle,2334432.3,49.9973,0.003,0.0119,0.0001,98.0,100.0,100.0
78,0.0,0.0,2738.29,3083.57,12090.0,12000.0,9477.21,9500.0,-278.07,1.0,idle,2376446.1,50.0068,0.0032,0.0139,0.0,84.0,100.0,100.0
79,0.0,0.0,3330.27,3097.77,12090.0,12000.0,8435.47,9500.0,-742.03,1.0,idle,2408799.68,50.0145,0.0032,0.0217,0.0049,9.0,95.0,100.0
80,0.0,0.0,2269.31,3109.87,12090.0,12000.0,9500.0,9500.0,-750.56,1.0,idle,2334237.9,49.9972,0.003,0.012,0.0001,98.0,100.0,100.0
81,0.0,0.0,2270.66,3114.02,12090.0,12000.0,9500.0,9500.0,-753.36,1.0,idle,2334359.4,49.9972,0.0031,0.0121,0.0001,98.0,100.0,100.0
82,0.0,0.0,2279.87,3126.26,12090.0,12000.0,9500.0,9500.0,-756.39,1.0,idle,2335188.3,49.9974,0.0029,0.0115,0.0001,98.0,100.0,100.0
83,0.0,0.0,2341.2,3136.5,12090.0,12000.0,9500.0,9500.0,-705.3,1.0,idle,2340708.0,49.9986,0.0029,0.0103,0.0,99.0,100.0,100.0
84,0.0,0.0,2276.77,3138.82,12090.0,12000.0,9500.0,9500.0,-772.05,1.0,idle,2334909.3,49.9973,0.003,0.0117,0.0,98.0,100.0,100.0
85,0.0,0.0,1993.51,3151.54,12090.0,12000.0,9500.0,9500.0,-1068.03,1.0,idle,2309415.9,49.9917,0.0028,0.0168,0.0017,73.0,100.0,100.0
86,0.0,0.0,2276.79,3160.83,12090.0,12000.0,9500.0,9500.0,-794.04,1.0,idle,2334911.1,49.9973,0.003,0.0118,0.0001,98.0,100.0,100.0
87,0.0,0.0,3073.13,3166.08,12076.05,12000.0,8729.5,9500.0,-787.4,1.0,idle,2406581.7,50.0137,0.0029,0.0207,0.0047,11.0,99.0,100.0
