Index,solar_needed,solar_availability,wind_needed,wind_availability,coal_needed,coal_availability,gas_needed,gas_availability,sortfall,BMS_status,BMS_action,total_cost,frequency_mean,frequency_std_dev,frequency_max_deviation,frequency_min_deviation,within_0_01,within_0_02,within_0_05
0,0.0,0.0,2183.93,2008.06,11700.0,11500.0,9500.0,9500.0,375.87,0.85,discharging,2245725.24,49.981,0.0055,0.0357,0.006,6.0,58.0,100.0
1,0.0,0.0,2164.99,2022.9,11700.0,11500.0,9500.0,9500.0,342.09,0.8,discharging,2247061.41,49.9813,0.0055,0.0355,0.0056,6.0,61.0,100.0
2,0.0,0.0,2105.46,2047.06,11700.0,11500.0,9500.0,9500.0,258.4,0.76,discharging,2249235.81,49.9818,0.0054,0.0345,0.0054,6.0,65.0,100.0
3,0.0,0.0,2213.52,2048.68,11700.0,11500.0,9500.0,9500.0,364.84,0.72,discharging,2249381.3,49.9819,0.0054,0.0346,0.0053,6.0,66.0,100.0
4,0.0,0.0,2395.93,2077.19,11700.0,11500.0,9500.0,9500.0,518.74,0.67,discharging,2251947.38,49.9825,0.0052,0.0333,0.0051,6.0,70.0,100.0
5,0.0,0.0,2307.38,2086.33,11700.0,11500.0,9500.0,9500.0,421.05,0.63,discharging,2252769.47,49.9826,0.0054,0.0336,0.0046,7.0,72.0,100.0
6,0.0,0.0,2258.16,2100.56,11700.0,11500.0,9500.0,9500.0,357.6,0.59,discharging,2254050.53,49.9829,0.0052,0.0329,0.0046,7.0,75.0,100.0
7,0.0,0.0,2152.26,2122.13,11700.0,11500.0,9500.0,9500.0,230.13,0.55,discharging,2255992.08,49.9834,0.0052,0.0322,0.0043,7.0,78.0,100.0
8,0.0,0.0,2056.15,2143.69,11700.0,11500.0,9500.0,9500.0,112.46,0.53,discharging,2250053.5,49.9821,0.0051,0.0333,0.0056,6.0,68.0,100.0
9,0.0,0.0,2191.01,2147.4,11700.0,11500.0,9500.0,9500.0,243.61,0.49,discharging,2258265.86,49.9838,0.0052,0.032,0.0037,13.0,81.0,100.0
10,0.0,0.0,2195.35,2171.46,11700.0,11500.0,9500.0,9500.0,223.89,0.45,discharging,2260431.11,49.9844,0.0051,0.0311,0.0033,14.0,81.0,100.0
11,0.0,0.0,2160.36,2184.64,11700.0,11500.0,9500.0,9500.0,175.72,0.42,discharging,2259432.4,49.9841,0.0051,0.0312,0.0037,14.0,81.0,100.0
12,0.0,0.0,588.94,2202.87,11700.0,11500.0,9500.0,9500.0,-1413.93,0.46,charging,2118004.6,49.9555,0.0047,0.0587,0.0331,0.0,0.0,90.0
13,0.0,0.0,2064.53,2222.51,11700.0,11500.0,9500.0,9500.0,42.02,0.45,discharging,2250807.7,49.9823,0.0051,0.0331,0.0054,6.0,68.0,100.0
14,0.0,0.0,2131.18,2236.66,11700.0,11500.0,9500.0,9500.0,94.52,0.43,discharging,2256806.2,49.9836,0.005,0.0315,0.0043,9.0,80.0,100.0
15,0.0,0.0,2011.13,2252.15,11700.0,11500.0,9500.0,9500.0,-41.02,0.44,charging,2246001.7,49.9813,0.005,0.0336,0.0067,4.0,63.0,100.0
16,0.0,0.0,75.56,2261.93,11700.0,11500.0,9500.0,9500.0,-1986.37,0.48,charging,2071800.4,49.9472,0.0045,0.0664,0.0419,0.0,0.0,26.0
17,0.0,0.0,2105.51,2276.56,11700.0,11500.0,5453.73,9500.0,-4017.32,0.52,charging,2254495.9,49.9832,0.0048,0.0312,0.0052,6.0,78.0,100.0
18,0.0,0.0,2176.44,2297.15,11700.0,11500.0,9500.0,9500.0,79.29,0.5,discharging,2260879.6,49.9846,0.0047,0.0295,0.0039,12.0,87.0,100.0
