Index,solar_needed,solar_availability,wind_needed,wind_availability,coal_needed,coal_availability,gas_needed,gas_availability,sortfall,BMS_status,BMS_action,total_cost,frequency_mean,frequency_std_dev,frequency_max_deviation,frequency_min_deviation,within_0_01,within_0_02,within_0_05
0,44.81,0.0,3828.91,2008.06,9461.3,11500.0,9975.24,9500.0,302.2,0.85,discharging,2245725.24,49.981,0.0055,0.0357,0.006,6.0,58.0,100.0
1,1096.13,0.0,849.98,2022.9,11965.23,11500.0,9505.47,9500.0,393.91,0.8,discharging,2141498.2,49.9598,0.0052,0.0561,0.0278,0.0,0.0,96.0
2,1697.27,0.0,571.32,2047.06,11120.51,11500.0,9948.13,9500.0,290.17,0.76,discharging,2116418.8,49.9551,0.0051,0.0603,0.0329,0.0,0.0,86.0
3,1509.29,0.0,2620.34,2048.68,10990.35,11500.0,8203.38,9500.0,274.68,0.72,discharging,2249381.3,49.9819,0.0054,0.0346,0.0053,6.0,66.0,100.0
4,1818.61,0.0,3173.06,2077.19,8543.93,11500.0,9794.62,9500.0,253.03,0.67,discharging,2251947.38,49.9825,0.0052,0.0333,0.0051,6.0,70.0,100.0
5,1678.42,0.0,3893.02,2086.33,7753.72,11500.0,10000.0,9500.0,238.83,0.63,discharging,2252769.47,49.9826,0.0054,0.0336,0.0046,7.0,72.0,100.0
6,1103.72,0.0,1469.58,2100.56,10859.82,11500.0,9899.36,9500.0,231.92,0.59,discharging,2197262.2,49.971,0.0051,0.0444,0.0169,0.0,4.0,100.0
7,1359.04,0.0,1638.2,2122.13,11523.99,11500.0,8995.16,9500.0,394.26,0.55,discharging,2212438.0,49.9741,0.0051,0.0411,0.0138,0.0,14.0,100.0
8,190.07,0.0,2936.94,2143.69,10213.41,11500.0,10000.0,9500.0,196.73,0.51,discharging,2257932.52,49.9838,0.0051,0.0317,0.0039,12.0,81.0,100.0
9,2000.0,0.0,3847.52,2147.4,7548.21,11500.0,9953.98,9500.0,202.31,0.47,discharging,2258265.86,49.9838,0.0052,0.032,0.0037,13.0,81.0,100.0
10,327.7,0.0,3640.25,2171.46,12000.0,11500.0,7415.31,9500.0,211.8,0.44,discharging,2260431.11,49.9844,0.0051,0.0311,0.0033,14.0,81.0,100.0
11,655.8,0.0,783.32,2184.64,12000.0,11500.0,9975.1,9500.0,229.58,0.4,discharging,2135498.8,49.9588,0.0048,0.0557,0.0297,0.0,0.0,96.0
12,757.55,0.0,1516.96,2202.87,11298.43,11500.0,9770.12,9500.0,140.19,0.38,discharging,2201526.4,49.9719,0.0049,0.0429,0.0162,0.0,6.0,100.0
13,938.02,0.0,745.47,2222.51,11665.3,11500.0,10000.0,9500.0,126.28,0.36,discharging,2132092.3,49.9582,0.0048,0.0564,0.0302,0.0,0.0,95.0
14,1764.05,0.0,97.07,2236.66,12000.0,11500.0,9565.29,9500.0,189.75,0.32,discharging,2073736.3,49.9474,0.0046,0.0664,0.0415,0.0,0.0,29.0
15,1169.99,0.0,176.38,2252.15,12000.0,11500.0,10000.0,9500.0,94.22,0.3,discharging,2080874.2,49.9488,0.0046,0.065,0.0402,0.0,0.0,40.0
16,272.33,0.0,108.65,2261.93,12000.0,11500.0,10000.0,9500.0,-880.95,0.35,charging,2074778.5,49.9477,0.0045,0.0659,0.0414,0.0,0.0,29.0
17,500.85,0.0,282.49,2276.56,12000.0,11500.0,10000.0,9500.0,-493.22,0.39,charging,2090424.1,49.9505,0.0045,0.0627,0.0388,0.0,0.0,57.0
18,439.43,0.0,3908.78,2297.15,9218.8,11500.0,9923.9,9500.0,193.76,0.36,discharging,2271743.43,49.987,0.0048,0.0272,0.0015,25.0,92.0,100.0
19,2000.0,0.0,3180.23,2306.69,12000.0,11500.0,6209.09,9500.0,82.63,0.34,discharging,2272601.87,49.9872,0.0048,0.0269,0.0013,26.0,92.0,100.0
20,1419.48,0.0,3809.73,2323.28,12000.0,11500.0,6228.23,9500.0,134.16,0.32,discharging,2274095.04,49.9875,0.0047,0.0264,0.0011,30.0,92.0,100.0
21,1868.61,0.0,3542.04,2341.58,11345.55,11500.0,6932.09,9500.0,346.71,0.28,discharging,2275742.13,49.9879,0.0049,0.0266,0.0003,32.0,93.0,100.0
22,1318.49,0.0,71.19,2356.41,12000.0,11500.0,9978.93,9500.0,12.2,0.28,discharging,2071407.1,49.9472,0.0043,0.0655,0.0424,0.0,0.0,23.0
23,1826.43,0.0,4000.0,2369.57,12000.0,11500.0,5556.15,9500.0,13.01,0.28,discharging,2278261.53,49.9885,0.0047,0.0254,0.0001,37.0,96.0,100.0
24,1832.0,0.0,1166.46,2385.58,12000.0,11500.0,8377.96,9500.0,-9.16,0.32,charging,2169981.4,49.9657,0.0045,0.0475,0.0234,0.0,0.0,100.0
25,908.38,0.0,672.3,2399.76,12000.0,11500.0,9943.33,9500.0,124.25,0.3,discharging,2125507.0,49.9571,0.0045,0.0561,0.0321,0.0,0.0,92.0
26,680.71,0.0,3955.15,2419.22,12000.0,11500.0,6749.06,9500.0,-34.3,0.34,charging,2282729.59,49.9895,0.0047,0.0245,0.001,47.0,96.0,100.0
27,103.13,0.0,465.39,2427.74,924.69,11500.0,10000.0,9500.0,-11934.53,0.38,charging,2106885.1,49.9537,0.0042,0.0586,0.0362,0.0,0.0,82.0
28,43.82,0.0,3934.74,2444.55,12000.0,11500.0,7411.34,9500.0,-54.65,0.42,charging,2285009.27,49.9901,0.0046,0.0233,0.0008,52.0,98.0,100.0
29,1562.19,0.0,3503.89,2465.51,12000.0,11500.0,6385.12,9500.0,-14.31,0.46,charging,2286896.01,49.9905,0.0045,0.0228,0.0005,56.0,98.0,100.0
30,1316.17,0.0,79.46,2473.61,12000.0,11500.0,10000.0,9500.0,-77.98,0.5,charging,2072151.4,49.9474,0.0041,0.0646,0.0427,0.0,0.0,23.0
31,1980.26,0.0,2251.57,2490.12,9647.28,11500.0,9623.94,9500.0,12.93,0.5,discharging,2267641.3,49.9862,0.0044,0.0267,0.0031,20.0,92.0,100.0
32,1393.73,0.0,4000.0,2503.43,8066.38,11500.0,9976.7,9500.0,-66.62,0.54,charging,2290309.08,49.9913,0.0044,0.0217,0.0,64.0,98.0,100.0
33,808.28,0.0,2215.53,2518.32,11230.39,11500.0,9193.99,9500.0,-70.13,0.58,charging,2264397.7,49.9855,0.0044,0.0274,0.0037,14.0,90.0,100.0
34,671.03,0.0,1431.55,2530.38,11632.02,11500.0,9689.0,9500.0,-106.78,0.62,charging,2193839.5,49.9706,0.0042,0.0416,0.0192,0.0,1.0,100.0
35,235.08,0.0,3122.47,2553.12,10076.81,11500.0,9985.07,9500.0,-133.69,0.66,charging,2294780.97,49.9922,0.0044,0.0205,0.0004,73.0,98.0,100.0
36,2000.0,0.0,3899.39,2565.16,7506.29,12000.0,10000.0,9500.0,-659.48,0.7,charging,2360864.24,50.0028,0.0044,0.0135,0.0,94.0,100.0,100.0
37,2000.0,0.0,1563.86,2580.99,9891.34,12000.0,10000.0,9500.0,-625.79,0.74,charging,2270747.4,49.9831,0.0041,0.029,0.0069,5.0,78.0,100.0
38,2000.0,0.0,3947.1,2595.66,12000.0,12000.0,5479.42,9500.0,-669.14,0.78,charging,2363609.04,50.0034,0.0042,0.0137,0.0001,94.0,100.0,100.0
39,24.11,0.0,3945.17,2610.02,12000.0,12000.0,7487.66,9500.0,-653.08,0.82,charging,2364902.08,50.0037,0.0042,0.0139,0.0,93.0,100.0,100.0
40,329.82,0.0,3675.04,2621.24,11826.66,12000.0,7628.46,9500.0,-661.26,0.86,charging,2365911.83,50.004,0.0042,0.0142,0.0,93.0,100.0,100.0
41,1146.83,0.0,4000.0,2632.93,12000.0,12000.0,6291.04,9500.0,-695.06,0.9,charging,2366963.32,50.0042,0.0042,0.0143,0.0001,92.0,100.0,100.0
42,1891.62,0.0,2385.62,2653.92,12000.0,12000.0,7174.6,9500.0,-702.08,0.94,charging,2344705.8,49.9992,0.004,0.0125,0.0001,98.0,100.0,100.0
43,1463.88,0.0,2368.31,2663.48,10246.65,12000.0,9410.51,9500.0,-674.13,0.98,charging,2343147.9,49.9988,0.0041,0.0132,0.0,98.0,100.0,100.0
44,97.11,0.0,2188.12,2683.52,11175.54,12000.0,10000.0,9500.0,-722.75,1.0,charging,2326930.8,49.9952,0.0041,0.0166,0.0001,90.0,100.0,100.0
45,1097.79,0.0,3949.4,2693.37,12000.0,12000.0,6414.61,9500.0,-731.57,1.0,idle,2372403.53,50.0055,0.004,0.0152,0.0001,88.0,100.0,100.0
46,1119.51,0.0,3849.54,2701.99,12000.0,12000.0,6486.43,9500.0,-746.51,1.0,idle,2373178.83,50.0057,0.0041,0.0157,0.0001,88.0,100.0,100.0
47,2000.0,0.0,4000.0,2723.11,12000.0,12000.0,446.29,9500.0,-5776.82,1.0,idle,2375079.77,50.0062,0.0039,0.0156,0.0,86.0,100.0,100.0
48,1303.93,0.0,3909.98,2731.36,12000.0,12000.0,6268.65,9500.0,-748.8,1.0,idle,2375822.72,50.0063,0.0039,0.0157,0.0,83.0,100.0,100.0
49,1747.55,0.0,3592.71,2742.76,8131.45,12000.0,10000.0,9500.0,-771.05,1.0,idle,2376848.72,50.0066,0.0039,0.0158,0.0,81.0,100.0,100.0
50,1580.88,0.0,3164.25,2759.48,8925.67,12000.0,9803.97,9500.0,-784.71,1.0,idle,2378353.42,50.0069,0.0039,0.0161,0.0003,81.0,100.0,100.0
51,1840.05,0.0,4000.0,2776.83,8553.13,12000.0,9191.75,9500.0,-691.9,1.0,idle,2379914.93,50.0073,0.0039,0.0165,0.0001,79.0,100.0,100.0
52,660.94,0.0,2975.73,2789.1,12000.0,12000.0,7877.36,9500.0,-775.07,1.0,idle,2381019.17,50.0075,0.0037,0.0163,0.0005,76.0,100.0,100.0
53,2000.0,0.0,2339.59,2799.83,11975.97,12000.0,7162.39,9500.0,-821.88,1.0,idle,2340563.1,49.9984,0.0038,0.0127,0.0,98.0,100.0,100.0
54,553.35,0.0,927.69,2817.26,12000.0,12000.0,10000.0,9500.0,-836.22,1.0,idle,2213492.1,49.9715,0.0035,0.0388,0.0201,0.0,0.0,100.0
55,1629.51,0.0,692.44,2826.69,11960.73,12000.0,9195.5,9500.0,-848.51,1.0,idle,2192319.6,49.9674,0.0035,0.0429,0.0242,0.0,0.0,100.0
56,2000.0,0.0,2067.31,2837.8,12000.0,12000.0,638.77,9500.0,-7631.72,1.0,idle,2316057.9,49.993,0.0036,0.0177,0.0003,82.0,100.0,100.0
57,1454.78,0.0,40.16,2851.35,11998.06,12000.0,10000.0,9500.0,-858.35,1.0,idle,2133614.4,49.9564,0.0033,0.0533,0.0357,0.0,0.0,97.0
58,1007.69,0.0,2061.3,2866.38,10663.38,12000.0,9860.67,9500.0,-773.34,1.0,idle,2315517.0,49.9929,0.0035,0.0175,0.0003,82.0,100.0,100.0
59,104.2,0.0,3694.97,2872.49,9701.64,12000.0,10000.0,9500.0,-871.68,1.0,idle,2388524.54,50.0094,0.0037,0.018,0.001,56.0,100.0,100.0
60,740.71,0.0,1923.46,2891.76,12000.0,12000.0,8854.97,9500.0,-872.62,1.0,idle,2303111.4,49.9902,0.0034,0.02,0.0019,56.0,99.0,100.0
61,920.66,0.0,1789.85,2898.1,12000.0,12000.0,8806.52,9500.0,-881.07,1.0,idle,2291086.5,49.9876,0.0035,0.0226,0.0043,22.0,98.0,100.0
62,1599.58,0.0,3490.76,2908.37,8415.87,12000.0,10000.0,9500.0,-902.16,1.0,idle,2391752.98,50.0102,0.0037,0.0189,0.0002,45.0,100.0,100.0
63,436.73,0.0,3892.83,2921.47,12000.0,12000.0,7253.47,9500.0,-838.44,1.0,idle,2392932.32,50.0105,0.0037,0.0191,0.0002,39.0,100.0,100.0
64,1647.71,0.0,980.1,2931.46,10900.29,12000.0,10000.0,9500.0,-903.36,1.0,idle,2218209.0,49.9726,0.0033,0.0371,0.0199,0.0,1.0,100.0
65,1867.71,0.0,1026.5,2941.62,12000.0,12000.0,8627.55,9500.0,-919.86,1.0,idle,2222385.0,49.9734,0.0033,0.0363,0.0189,0.0,2.0,100.0
66,2000.0,0.0,4000.0,2963.96,12000.0,12000.0,2438.99,9500.0,-4024.97,1.0,idle,2396756.09,50.0114,0.0035,0.0195,0.0009,33.0,100.0,100.0
67,901.96,0.0,990.35,2973.64,12000.0,12000.0,9758.61,9500.0,-822.72,1.0,idle,2219131.5,49.9728,0.0031,0.0366,0.0201,0.0,0.0,100.0
68,98.48,0.0,3898.54,2976.5,12000.0,12000.0,7598.15,9500.0,-881.33,1.0,idle,2397884.8,50.0116,0.0033,0.0191,0.0016,29.0,100.0,100.0
69,1989.55,0.0,971.75,2990.72,11891.48,12000.0,8746.91,9500.0,-891.03,1.0,idle,2217457.5,49.9725,0.0031,0.0369,0.0204,0.0,0.0,100.0
70,1652.25,0.0,685.02,3005.64,12000.0,12000.0,9304.94,9500.0,-863.43,1.0,idle,2191651.8,49.9674,0.003,0.0416,0.0259,0.0,0.0,100.0
71,933.13,0.0,1024.46,3016.31,12000.0,12000.0,9588.26,9500.0,-970.46,1.0,idle,2222201.4,49.9735,0.0032,0.036,0.0191,0.0,2.0,100.0
72,1306.52,0.0,2012.76,3021.36,12000.0,12000.0,8234.2,9500.0,-967.88,1.0,idle,2311148.4,49.9921,0.0032,0.0174,0.0008,76.0,100.0,100.0
73,1718.57,0.0,291.35,3035.29,12000.0,12000.0,9551.33,9500.0,-974.04,1.0,idle,2156221.5,49.9607,0.0029,0.048,0.0328,0.0,0.0,100.0
74,1805.56,0.0,3957.14,3050.66,11891.75,12000.0,5951.55,9500.0,-944.66,1.0,idle,2404558.98,50.0134,0.0032,0.0206,0.0037,13.0,98.0,100.0
75,1000.3,0.0,2120.7,3057.42,10497.99,12000.0,9944.98,9500.0,-993.45,1.0,idle,2320863.0,49.9942,0.0031,0.0152,0.0,90.0,100.0,100.0
76,1947.59,0.0,494.33,3064.16,11993.0,12000.0,5163.74,9500.0,-4965.5,1.0,idle,2174489.7,49.9642,0.0028,0.0443,0.0294,0.0,0.0,100.0
77,408.85,0.0,3122.77,3078.02,4899.54,12000.0,10000.0,9500.0,-6146.86,1.0,idle,2407021.55,50.014,0.0031,0.0211,0.0045,11.0,97.0,100.0
78,432.96,0.0,4000.0,3083.57,28.54,12000.0,10000.0,9500.0,-10122.07,1.0,idle,2407521.05,50.0141,0.0032,0.0213,0.0044,11.0,97.0,100.0
79,1932.98,0.0,1169.87,3097.77,10493.38,12000.0,10000.0,9500.0,-1001.54,1.0,idle,2235288.3,49.9762,0.0029,0.0326,0.0171,0.0,10.0,100.0
80,2000.0,0.0,4000.0,3109.87,12000.0,12000.0,728.1,9500.0,-5881.77,1.0,idle,2409888.57,50.0147,0.0031,0.0218,0.0051,9.0,95.0,100.0
81,799.81,0.0,2429.57,3114.02,12000.0,12000.0,8357.8,9500.0,-1026.84,1.0,idle,2348661.3,50.0004,0.0031,0.0089,0.0,100.0,100.0,100.0
82,1871.56,0.0,3965.91,3126.26,12000.0,12000.0,5745.71,9500.0,-1043.08,1.0,idle,2411363.33,50.0149,0.003,0.0219,0.0058,5.0,95.0,100.0
83,1286.08,0.0,1558.67,3136.5,12000.0,12000.0,8785.89,9500.0,-1005.86,1.0,idle,2270280.3,49.9833,0.0028,0.0253,0.0102,0.0,89.0,100.0
84,2000.0,0.0,1167.7,3138.82,12000.0,12000.0,1098.32,9500.0,-8372.8,1.0,idle,2235093.0,49.9761,0.0028,0.0325,0.0173,0.0,9.0,100.0
85,1417.68,0.0,3818.62,3151.54,8374.3,12000.0,10000.0,9500.0,-1040.94,1.0,idle,2413638.89,50.0155,0.0029,0.0224,0.0066,4.0,91.0,100.0
86,706.8,0.0,3938.74,3160.83,8958.48,12000.0,10000.0,9500.0,-1056.81,1.0,idle,2414474.88,50.0157,0.0031,0.0228,0.0062,3.0,91.0,100.0
87,2000.0,0.0,4000.0,3166.08,12000.0,12000.0,787.7,9500.0,-5878.38,1.0,idle,2414946.8,50.0157,0.0029,0.0227,0.0067,4.0,91.0,100.0
88,2000.0,0.0,4000.0,3177.55,12000.0,12000.0,2428.67,9500.0,-4248.88,1.0,idle,2415979.67,50.0161,0.003,0.0231,0.007,3.0,91.0,100.0
