Index,solar_needed,solar_availability,wind_needed,wind_availability,coal_needed,coal_availability,gas_needed,gas_availability,sortfall,BMS_status,BMS_action,total_cost,frequency_mean,frequency_std_dev,frequency_max_deviation,frequency_min_deviation,within_0_01,within_0_02,within_0_05
0,423.08,0.0,552.7,2008.06,9656.08,11500.0,7130.0,9500.0,-5246.2,0.94,charging,2114743.0,49.9548,0.0052,0.061,0.033,0.0,0.0,82.0
1,1664.75,0.0,3481.45,2022.9,9925.47,11500.0,9651.59,9500.0,1700.36,0.89,discharging,2247061.41,49.9813,0.0055,0.0355,0.0056,6.0,61.0,100.0
2,1035.98,0.0,2683.52,2047.06,9202.99,11500.0,7655.23,9500.0,-2469.34,0.93,charging,2249235.81,49.9818,0.0054,0.0345,0.0054,6.0,65.0,100.0
3,1065.18,0.0,1943.31,2048.68,11887.11,11500.0,3388.78,9500.0,-4764.3,0.97,charging,2239897.9,49.9798,0.0054,0.0366,0.0074,2.0,49.0,100.0
4,1074.06,0.0,339.45,2077.19,9115.87,11500.0,1565.96,9500.0,-10981.85,1.0,charging,2095550.5,49.9513,0.0048,0.0633,0.0372,0.0,0.0,62.0
5,672.35,0.0,840.81,2086.33,9590.1,11500.0,6495.96,9500.0,-5487.11,1.0,idle,2140672.9,49.9598,0.0051,0.0557,0.0281,0.0,0.0,96.0
6,1555.57,0.0,2975.26,2100.56,8891.96,11500.0,8981.1,9500.0,-696.67,1.0,idle,2254050.53,49.9829,0.0052,0.0329,0.0046,7.0,75.0,100.0
7,341.91,0.0,2514.33,2122.13,8493.81,11500.0,7963.0,9500.0,-3809.08,1.0,idle,2255992.08,49.9834,0.0052,0.0322,0.0043,7.0,78.0,100.0
8,1877.29,0.0,3162.29,2143.69,11938.84,11500.0,9069.47,9500.0,2904.2,0.95,discharging,2257932.52,49.9838,0.0051,0.0317,0.0039,12.0,81.0,100.0
9,1255.54,0.0,2260.4,2147.4,11773.46,11500.0,7931.46,9500.0,73.46,0.94,discharging,2258265.86,49.9838,0.0052,0.032,0.0037,13.0,81.0,100.0
10,1767.34,0.0,3408.72,2171.46,9210.38,11500.0,7264.85,9500.0,-1520.17,0.98,charging,2260431.11,49.9844,0.0051,0.0311,0.0033,14.0,81.0,100.0
11,507.6,0.0,256.46,2184.64,9963.64,11500.0,8903.62,9500.0,-3553.32,1.0,charging,2088081.4,49.9499,0.0047,0.0642,0.0388,0.0,0.0,49.0
12,348.09,0.0,1020.53,2202.87,7205.37,11500.0,8841.31,9500.0,-5787.57,1.0,idle,2156847.7,49.963,0.0048,0.0516,0.0254,0.0,0.0,98.0
13,233.99,0.0,3010.88,2222.51,9656.21,11500.0,7677.05,9500.0,-2644.38,1.0,idle,2265026.05,49.9854,0.0052,0.0302,0.0022,19.0,87.0,100.0
14,1905.26,0.0,521.25,2236.66,10126.82,11500.0,8569.79,9500.0,-2113.54,1.0,idle,2111912.5,49.9544,0.0047,0.0597,0.0343,0.0,0.0,83.0
15,1564.34,0.0,3741.23,2252.15,10182.8,11500.0,2370.38,9500.0,-5393.4,1.0,idle,2267693.95,49.986,0.005,0.029,0.0019,21.0,90.0,100.0
16,871.1,0.0,2871.18,2261.93,8434.9,11500.0,8011.71,9500.0,-3073.04,1.0,idle,2268573.95,49.9863,0.005,0.0286,0.0017,22.0,90.0,100.0
17,1916.89,0.0,3650.58,2276.56,8062.63,11500.0,4203.45,9500.0,-5443.01,1.0,idle,2269890.55,49.9865,0.0049,0.0279,0.0017,22.0,91.0,100.0
18,1285.63,0.0,2403.65,2297.15,10859.65,11500.0,5954.37,9500.0,-2793.85,1.0,idle,2271743.43,49.987,0.0048,0.0272,0.0015,25.0,92.0,100.0
19,46.06,0.0,3403.8,2306.69,8997.18,11500.0,9923.55,9500.0,-936.1,1.0,idle,2272601.87,49.9872,0.0048,0.0269,0.0013,26.0,92.0,100.0
20,1036.14,0.0,1587.96,2323.28,7309.35,11500.0,8435.92,9500.0,-4953.91,1.0,idle,2207916.4,49.9734,0.0046,0.0401,0.0156,0.0,6.0,100.0
21,674.55,0.0,3647.76,2341.58,11569.58,11500.0,1109.96,9500.0,-6339.73,1.0,idle,2275742.13,49.9879,0.0049,0.0266,0.0003,32.0,93.0,100.0
22,879.35,0.0,2985.8,2356.41,9416.07,11500.0,8499.98,9500.0,-1575.21,1.0,idle,2277077.34,49.9883,0.0047,0.0258,0.0002,34.0,96.0,100.0
23,1165.73,0.0,2631.37,2369.57,9126.15,11500.0,9782.25,9500.0,-664.07,1.0,idle,2278261.53,49.9885,0.0047,0.0254,0.0001,37.0,96.0,100.0
24,1592.01,0.0,2836.88,2385.58,10058.78,11500.0,7461.84,9500.0,-1436.07,1.0,idle,2279701.79,49.9888,0.0047,0.0251,0.0002,41.0,96.0,100.0
25,709.54,0.0,1021.32,2399.76,10889.15,11500.0,7114.79,9500.0,-3664.96,1.0,idle,2156918.8,49.9632,0.0045,0.0503,0.0258,0.0,0.0,99.0
26,682.76,0.0,1431.51,2419.22,7651.67,11500.0,8473.68,9500.0,-5179.6,1.0,idle,2193835.9,49.9706,0.0045,0.0428,0.0184,0.0,1.0,100.0
27,986.66,0.0,3513.69,2427.74,8050.85,11500.0,8472.93,9500.0,-2403.61,1.0,idle,2283496.19,49.9897,0.0045,0.0236,0.0008,47.0,98.0,100.0
28,917.93,0.0,2206.0,2444.55,11234.35,11500.0,7523.21,9500.0,-1563.06,1.0,idle,2263540.0,49.9853,0.0045,0.0279,0.0037,15.0,90.0,100.0
29,1825.44,0.0,897.4,2465.51,9804.85,11500.0,7376.0,9500.0,-3561.82,1.0,idle,2145766.0,49.9611,0.0042,0.0513,0.0287,0.0,0.0,98.0
30,695.3,0.0,3744.3,2473.61,6995.56,11500.0,8520.91,9500.0,-3517.54,1.0,idle,2287624.93,49.9906,0.0045,0.0227,0.0003,57.0,98.0,100.0
31,998.08,0.0,3134.15,2490.12,8983.63,11500.0,8868.89,9500.0,-1505.37,1.0,idle,2289110.38,49.991,0.0045,0.0221,0.0002,61.0,98.0,100.0
32,582.57,0.0,2417.77,2503.43,6458.94,11500.0,9593.87,9500.0,-4450.28,1.0,idle,2282599.3,49.9895,0.0044,0.0234,0.0002,47.0,98.0,100.0
33,913.64,0.0,2949.91,2518.32,11838.19,11500.0,5084.01,9500.0,-2732.57,1.0,idle,2291648.85,49.9916,0.0045,0.0216,0.0,66.0,98.0,100.0
34,1753.04,0.0,3250.31,2530.38,10692.65,11500.0,9871.51,9500.0,2037.13,0.95,discharging,2292734.44,49.9918,0.0044,0.021,0.0,68.0,98.0,100.0
35,1961.39,0.0,1384.57,2553.12,9439.67,11500.0,6891.07,9500.0,-3876.42,0.99,charging,2189611.3,49.9698,0.0041,0.0424,0.0202,0.0,0.0,100.0
36,1903.98,0.0,896.77,2565.16,11482.84,12000.0,5732.13,9500.0,-4049.44,1.0,charging,2210709.3,49.9708,0.0041,0.0411,0.0192,0.0,1.0,100.0
37,674.62,0.0,3906.65,2580.99,11379.36,12000.0,8855.76,9500.0,735.4,0.95,discharging,2362288.82,50.0031,0.0043,0.0136,0.0001,94.0,100.0,100.0
38,832.94,0.0,1001.0,2595.66,7646.06,12000.0,9018.95,9500.0,-5596.71,0.99,charging,2220090.0,49.9727,0.004,0.0389,0.0177,0.0,5.0,100.0
39,937.45,0.0,3620.27,2610.02,9700.67,12000.0,9777.95,9500.0,-73.68,1.0,charging,2364902.08,50.0037,0.0042,0.0139,0.0,93.0,100.0,100.0
40,1636.74,0.0,704.37,2621.24,11732.01,12000.0,7963.72,9500.0,-2084.4,1.0,idle,2193393.3,49.9675,0.0039,0.0438,0.0231,0.0,0.0,100.0
41,1184.33,0.0,2024.88,2632.93,11138.94,12000.0,6941.02,9500.0,-2843.76,1.0,idle,2312239.2,49.992,0.0041,0.0198,0.0001,72.0,100.0,100.0
42,1632.01,0.0,288.3,2653.92,9973.83,12000.0,8445.53,9500.0,-3814.25,1.0,idle,2155947.0,49.9604,0.0037,0.0503,0.0307,0.0,0.0,98.0
43,1675.21,0.0,3966.81,2663.48,7591.33,12000.0,5202.71,9500.0,-5727.42,1.0,idle,2369713.49,50.0049,0.0042,0.015,0.0001,90.0,100.0,100.0
44,1974.14,0.0,1835.72,2683.52,10098.05,12000.0,6616.37,9500.0,-3659.24,1.0,idle,2295214.8,49.9883,0.004,0.0233,0.002,33.0,97.0,100.0
45,301.45,0.0,7.37,2693.37,11571.8,12000.0,7917.37,9500.0,-4395.38,1.0,idle,2130663.3,49.9557,0.0036,0.0547,0.0356,0.0,0.0,93.0
46,330.83,0.0,2036.59,2701.99,10078.61,12000.0,8205.61,9500.0,-3550.35,1.0,idle,2313293.1,49.9923,0.004,0.0194,0.0,74.0,100.0,100.0
47,1788.34,0.0,465.74,2723.11,10530.53,12000.0,8991.41,9500.0,-2447.09,1.0,idle,2171916.6,49.9634,0.0036,0.047,0.028,0.0,0.0,100.0
48,1085.39,0.0,2889.34,2731.36,11876.77,12000.0,2594.12,9500.0,-5785.74,1.0,idle,2375822.72,50.0063,0.0039,0.0157,0.0,83.0,100.0,100.0
49,153.37,0.0,3447.26,2742.76,6645.98,12000.0,9508.93,9500.0,-4487.22,1.0,idle,2376848.72,50.0066,0.0039,0.0158,0.0,81.0,100.0,100.0
50,1326.46,0.0,3737.94,2759.48,11654.97,12000.0,8043.05,9500.0,502.94,0.95,discharging,2378353.42,50.0069,0.0039,0.0161,0.0003,81.0,100.0,100.0
51,1607.64,0.0,1733.96,2776.83,9943.29,12000.0,9403.17,9500.0,-1588.77,0.99,charging,2286056.4,49.9864,0.0037,0.0244,0.0048,16.0,96.0,100.0
52,907.49,0.0,2852.63,2789.1,11413.57,12000.0,3551.96,9500.0,-5563.45,1.0,charging,2381019.17,50.0075,0.0037,0.0163,0.0005,76.0,100.0,100.0
53,777.14,0.0,997.37,2799.83,11584.3,12000.0,9173.33,9500.0,-1767.69,1.0,idle,2219763.3,49.9728,0.0036,0.0377,0.0186,0.0,2.0,100.0
54,1238.3,0.0,1005.58,2817.26,7389.38,12000.0,5404.47,9500.0,-9279.53,1.0,idle,2220502.2,49.9729,0.0035,0.0374,0.0186,0.0,2.0,100.0
55,624.28,0.0,3547.49,2826.69,9788.19,12000.0,7381.7,9500.0,-2985.03,1.0,idle,2384401.69,50.0084,0.0038,0.0175,0.0001,68.0,100.0,100.0
56,38.86,0.0,2172.89,2837.8,11809.36,12000.0,8181.43,9500.0,-2135.26,1.0,idle,2325560.1,49.995,0.0036,0.0156,0.0002,91.0,100.0,100.0
57,560.81,0.0,3569.25,2851.35,9167.08,12000.0,9614.3,9500.0,-1439.91,1.0,idle,2386621.57,50.009,0.0037,0.0178,0.001,61.0,100.0,100.0
58,1496.91,0.0,247.15,2866.38,11304.24,12000.0,6045.42,9500.0,-5272.66,1.0,idle,2152243.5,49.9599,0.0032,0.0497,0.0325,0.0,0.0,100.0
59,355.91,0.0,2265.55,2872.49,10473.52,12000.0,7370.57,9500.0,-3906.94,1.0,idle,2333899.5,49.9969,0.0036,0.0137,0.0001,97.0,100.0,100.0
60,1707.63,0.0,663.34,2891.76,11935.91,12000.0,8759.37,9500.0,-1325.51,1.0,idle,2189700.6,49.9669,0.0032,0.0427,0.0255,0.0,0.0,100.0
