Index,solar_needed,solar_availability,wind_needed,wind_availability,coal_needed,coal_availability,gas_needed,gas_availability,sortfall,BMS_status,BMS_action,total_cost,frequency_mean,frequency_std_dev,frequency_max_deviation,frequency_min_deviation,within_0_01,within_0_02,within_0_05
0,2000.0,0.0,4000.0,2008.06,7848.89,11500.0,10000.0,9500.0,840.83,0.85,discharging,2245725.24,49.981,0.0055,0.0357,0.006,6.0,58.0,100.0
1,647.34,0.0,1200.83,2022.9,12000.0,11500.0,10000.0,9500.0,825.27,0.8,discharging,2173074.7,49.966,0.0053,0.0502,0.0214,0.0,0.0,99.0
2,2000.0,0.0,0.0,2047.06,11849.43,11500.0,10000.0,9500.0,802.37,0.76,discharging,2065000.0,49.9457,0.0049,0.0692,0.0426,0.0,0.0,20.0
3,2000.0,0.0,3214.86,2048.68,8633.88,11500.0,10000.0,9500.0,800.06,0.72,discharging,2249381.3,49.9819,0.0054,0.0346,0.0053,6.0,66.0,100.0
4,0.0,0.0,4000.0,2077.19,12000.0,11500.0,7852.19,9500.0,775.0,0.67,discharging,2251947.38,49.9825,0.0052,0.0333,0.0051,6.0,70.0,100.0
5,0.0,0.0,4000.0,2086.33,12000.0,11500.0,7846.41,9500.0,760.08,0.63,discharging,2252769.47,49.9826,0.0054,0.0336,0.0046,7.0,72.0,100.0
6,226.68,0.0,3999.8,2100.56,9782.08,11500.0,9829.52,9500.0,737.52,0.59,discharging,2254050.53,49.9829,0.0052,0.0329,0.0046,7.0,75.0,100.0
7,313.37,0.0,3977.26,2122.13,9559.28,11500.0,10000.0,9500.0,727.78,0.55,discharging,2255992.08,49.9834,0.0052,0.0322,0.0043,7.0,78.0,100.0
8,370.6,0.0,3945.61,2143.69,11788.53,11500.0,7868.52,9500.0,829.57,0.51,discharging,2257932.52,49.9838,0.0051,0.0317,0.0039,12.0,81.0,100.0
9,1983.52,0.0,3704.99,2147.4,11515.49,11500.0,6641.67,9500.0,698.27,0.47,discharging,2258265.86,49.9838,0.0052,0.032,0.0037,13.0,81.0,100.0
10,1849.25,0.0,0.7,2171.46,12000.0,11500.0,10000.0,9500.0,678.49,0.43,discharging,2065063.0,49.9459,0.0047,0.0682,0.0429,0.0,0.0,19.0
11,0.0,0.0,3979.14,2184.64,9870.82,11500.0,10000.0,9500.0,665.32,0.4,discharging,2261617.45,49.9846,0.0051,0.0308,0.0032,14.0,81.0,100.0
12,1922.83,0.0,3944.97,2202.87,12000.0,11500.0,5969.0,9500.0,633.93,0.37,discharging,2263258.52,49.985,0.0051,0.0303,0.0028,17.0,86.0,100.0
13,2000.0,0.0,4000.0,2222.51,7846.27,11500.0,10000.0,9500.0,623.76,0.33,discharging,2265026.05,49.9854,0.0052,0.0302,0.0022,19.0,87.0,100.0
14,1848.98,0.0,0.0,2236.66,12000.0,11500.0,10000.0,9500.0,612.32,0.3,discharging,2065000.0,49.9459,0.0046,0.0679,0.0431,0.0,0.0,19.0
15,179.77,0.0,3435.89,2252.15,11930.64,11500.0,8300.9,9500.0,595.05,0.27,discharging,2267693.95,49.986,0.005,0.029,0.0019,21.0,90.0,100.0
16,1618.41,0.0,4000.0,2261.93,12000.0,11500.0,6232.43,9500.0,588.91,0.23,discharging,2268573.95,49.9863,0.005,0.0286,0.0017,22.0,90.0,100.0
17,1848.82,0.0,0.0,2276.56,12000.0,11500.0,10000.0,9500.0,572.26,0.2,discharging,2065000.0,49.946,0.0044,0.0671,0.0434,0.0,0.0,18.0
18,2000.0,0.0,0.0,2297.15,11848.1,11500.0,10000.0,9500.0,550.95,0.2,idle,2065000.0,49.946,0.0043,0.0668,0.0436,0.0,0.0,18.0
19,1655.4,0.0,193.43,2306.69,12000.0,11500.0,10000.0,9500.0,542.14,0.2,idle,2082408.7,49.9491,0.0043,0.0638,0.0404,0.0,0.0,42.0
20,2000.0,0.0,147.67,2323.28,12000.0,11500.0,9701.55,9500.0,525.94,0.2,idle,2078290.3,49.9484,0.0043,0.0643,0.0413,0.0,0.0,33.0
21,1249.71,0.0,4000.0,2341.58,10483.34,11500.0,7941.77,9500.0,333.24,0.2,idle,2275742.13,49.9879,0.0049,0.0266,0.0003,32.0,93.0,100.0
