Index,solar_needed,solar_availability,wind_needed,wind_availability,coal_needed,coal_availability,gas_needed,gas_availability,sortfall,BMS_status,BMS_action,total_cost,frequency_mean,frequency_std_dev,frequency_max_deviation,frequency_min_deviation,within_0_01,within_0_02,within_0_05
0,1737.57,0.0,2896.69,2008.06,11996.62,11500.0,7325.51,9500.0,948.33,0.85,discharging,2245725.24,49.981,0.0055,0.0357,0.006,6.0,58.0,100.0
1,350.22,0.0,1406.2,2022.9,12000.0,11500.0,10000.0,9500.0,733.52,0.8,discharging,2191558.0,49.9697,0.0054,0.0466,0.0175,0.0,2.0,100.0
2,1.3,0.0,3031.25,2047.06,12000.0,11500.0,8906.78,9500.0,892.27,0.76,discharging,2249235.81,49.9818,0.0054,0.0345,0.0054,6.0,65.0,100.0
3,627.85,0.0,1326.27,2048.68,12000.0,11500.0,10000.0,9500.0,905.44,0.72,discharging,2184364.3,49.9683,0.0053,0.0477,0.0192,0.0,1.0,100.0
4,764.47,0.0,2433.0,2077.19,11767.54,11500.0,8982.96,9500.0,870.78,0.67,discharging,2251947.38,49.9825,0.0052,0.0333,0.0051,6.0,70.0,100.0
5,289.14,0.0,1665.96,2086.33,12000.0,11500.0,10000.0,9500.0,868.77,0.63,discharging,2214936.4,49.9746,0.0053,0.0414,0.0128,0.0,16.0,100.0
6,1611.62,0.0,871.25,2100.56,11968.7,11500.0,9512.28,9500.0,863.29,0.59,discharging,2143412.5,49.9603,0.005,0.0547,0.0279,0.0,0.0,98.0
7,91.56,0.0,3975.03,2122.13,12000.0,11500.0,5831.94,9500.0,-1223.6,0.63,charging,2255992.08,49.9834,0.0052,0.0322,0.0043,7.0,78.0,100.0
8,319.16,0.0,1628.42,2143.69,12000.0,11500.0,10000.0,9500.0,803.89,0.59,discharging,2211557.8,49.974,0.005,0.0412,0.014,0.0,12.0,100.0
9,1855.0,0.0,3680.58,2147.4,12000.0,11500.0,6434.47,9500.0,822.65,0.55,discharging,2258265.86,49.9838,0.0052,0.032,0.0037,13.0,81.0,100.0
10,1665.87,0.0,275.71,2171.46,12000.0,11500.0,10000.0,9500.0,770.12,0.5,discharging,2089813.9,49.9503,0.0047,0.0639,0.0383,0.0,0.0,53.0
11,1054.91,0.0,2768.61,2184.64,12000.0,11500.0,8129.66,9500.0,768.54,0.46,discharging,2261617.45,49.9846,0.0051,0.0308,0.0032,14.0,81.0,100.0
12,1389.29,0.0,2946.18,2202.87,12000.0,11500.0,7608.3,9500.0,740.9,0.43,discharging,2263258.52,49.985,0.0051,0.0303,0.0028,17.0,86.0,100.0
13,464.17,0.0,3722.63,2222.51,12000.0,11500.0,7750.07,9500.0,714.36,0.4,discharging,2265026.05,49.9854,0.0052,0.0302,0.0022,19.0,87.0,100.0
14,1181.54,0.0,2910.8,2236.66,12000.0,11500.0,7853.87,9500.0,709.55,0.36,discharging,2266299.26,49.9857,0.0051,0.0295,0.0022,19.0,90.0,100.0
15,1917.0,0.0,24.58,2252.15,12000.0,11500.0,10000.0,9500.0,689.43,0.33,discharging,2067212.2,49.9463,0.0046,0.0674,0.0427,0.0,0.0,21.0
16,1492.64,0.0,449.1,2261.93,12000.0,11500.0,10000.0,9500.0,679.81,0.3,discharging,2105419.0,49.9533,0.0046,0.0605,0.0356,0.0,0.0,79.0
17,1660.23,0.0,1841.03,2276.56,12000.0,11500.0,8451.8,9500.0,676.5,0.26,discharging,2230692.7,49.9781,0.0048,0.0361,0.0104,0.0,33.0,100.0
18,1168.68,0.0,2421.97,2297.15,12000.0,11500.0,8356.84,9500.0,650.34,0.23,discharging,2271743.43,49.987,0.0048,0.0272,0.0015,25.0,92.0,100.0
19,1737.73,0.0,2251.16,2306.69,12000.0,11500.0,7962.02,9500.0,644.22,0.2,discharging,2267604.4,49.9861,0.0048,0.028,0.0024,20.0,90.0,100.0
20,1626.53,0.0,3036.71,2323.28,11453.95,11500.0,7825.6,9500.0,619.51,0.2,idle,2274095.04,49.9875,0.0047,0.0264,0.0011,30.0,92.0,100.0
21,1523.77,0.0,1156.74,2341.58,12000.0,11500.0,9270.54,9500.0,609.47,0.2,idle,2169106.6,49.9655,0.0046,0.0482,0.0233,0.0,0.0,100.0
